zm(m), Length(m), R_wires(Ohms), R_strips(Ohms)
-2.300000000000000308e-02,2.323038465397371244e+00,1.987631142392999317e-01,2.230116926781476661e+00
-2.200000000000000219e-02,1.715325220705566256e+00,1.467661374872379632e-01,1.646712211877344068e+00
-2.100000000000000130e-02,6.567259595663055283e-01,5.619058783121050338e-02,6.304569211836533738e-01
-2.000000000000000389e-02,1.012862821066140562e-01,8.666226221005419658e-03,9.723483082234951613e-02
-1.900000000000000300e-02,5.391035810952361507e-01,4.612661747627098963e-02,5.175394378514267535e-01
-1.800000000000000211e-02,9.017723940082528200e-01,7.715717670540135631e-02,8.657014982479229737e-01
-1.700000000000000122e-02,1.159887742070782712e+00,9.924196401222427910e-02,1.113492232387951475e+00
-1.600000000000000033e-02,9.017723940082528200e-01,7.715717670540135631e-02,8.657014982479229737e-01
-1.499999999999999944e-02,7.776155633254364652e-01,6.653410752760503810e-02,7.465109407924190865e-01
-1.399999999999999856e-02,5.391035810952361507e-01,4.612661747627098963e-02,5.175394378514267535e-01
-1.300000000000000461e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000372e-02,4.247484261363805302e-01,3.634219631084193575e-02,4.077584890909254356e-01
-1.100000000000000283e-02,5.391035810952361507e-01,4.612661747627098963e-02,5.175394378514267535e-01
-1.000000000000000194e-02,5.391035810952361507e-01,4.612661747627098963e-02,5.175394378514267535e-01
-9.000000000000001055e-03,5.391035810952361507e-01,4.612661747627098963e-02,5.175394378514267535e-01
-8.000000000000000167e-03,4.247484261363805302e-01,3.634219631084193575e-02,4.077584890909254356e-01
-6.999999999999999278e-03,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
-6.000000000000005329e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.000000000000004441e-03,1.012862821066140562e-01,8.666226221005419658e-03,9.723483082234951613e-02
-4.000000000000003553e-03,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
-3.000000000000002665e-03,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
-2.000000000000001776e-03,1.012862821066140562e-01,8.666226221005419658e-03,9.723483082234951613e-02
-1.000000000000000888e-03,1.012862821066140562e-01,8.666226221005419658e-03,9.723483082234951613e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000888e-03,1.012862821066140562e-01,8.666226221005419658e-03,9.723483082234951613e-02
2.000000000000001776e-03,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
2.999999999999995726e-03,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
3.999999999999996614e-03,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
4.999999999999997502e-03,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
5.999999999999998390e-03,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
6.999999999999999278e-03,1.012862821066140562e-01,8.666226221005419658e-03,9.723483082234951613e-02
8.000000000000000167e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000001055e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999999999995004e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.099999999999999589e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999678e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.299999999999999767e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
