z0 (m), H (A/m), H (Oe)
-4.328358208955223468e-02,3.950112830286889675e+03,4.963858179392030934e+01
-4.228855721393034311e-02,3.951423335481651065e+03,4.965505008788972674e+01
-4.129353233830845155e-02,3.952664333727664143e+03,4.967064493178089180e+01
-4.029850746268656692e-02,3.953839968466913888e+03,4.968541839362142554e+01
-3.930348258706467535e-02,3.954954062457768487e+03,4.969941851160973556e+01
-3.830845771144278378e-02,3.956010145971710699e+03,4.971268964844564664e+01
-3.731343283582089221e-02,3.957011482129829801e+03,4.972527280971813468e+01
-3.631840796019900064e-02,3.957961089700263528e+03,4.973720593038640203e+01
-3.532338308457710907e-02,3.958861763638035882e+03,4.974852413289114139e+01
-3.432835820895521750e-02,3.959716093614390957e+03,4.975925996000097484e+01
-3.333333333333332593e-02,3.960526480752818770e+03,4.976944358512356814e+01
-3.233830845771143436e-02,3.961295152763091664e+03,4.977910300248554165e+01
-3.134328358208954279e-02,3.962024177641977076e+03,4.978826419930070557e+01
-3.034825870646765122e-02,3.962715476089598269e+03,4.979695131179864376e+01
-2.935323383084575966e-02,3.963370832773218353e+03,4.980518676676961576e+01
-2.835820895522386809e-02,3.963991906555118021e+03,4.981299141009182563e+01
-2.736318407960199039e-02,3.964580239788049312e+03,4.982038462354158526e+01
-2.636815920398009883e-02,3.965137266770141650e+03,4.982738443104074832e+01
-2.537313432835820726e-02,3.965664321440936419e+03,4.983400759536799285e+01
-2.437810945273631569e-02,3.966162644391237336e+03,4.984026970624711339e+01
-2.338308457711442412e-02,3.966633389251579047e+03,4.984618526062697441e+01
-2.238805970149253255e-02,3.967077628517026369e+03,4.985176773587803467e+01
-2.139303482587064098e-02,3.967496358859927113e+03,4.985702965655440266e+01
-2.039800995024874941e-02,3.967890505976655732e+03,4.986198265529979778e+01
-1.940298507462685784e-02,3.968260929009568827e+03,4.986663752841548103e+01
-1.840796019900496627e-02,3.968608424581015697e+03,4.987100428655313067e+01
-1.741293532338307470e-02,3.968933730472394473e+03,4.987509220094722906e+01
-1.641791044776118313e-02,3.969237528977799684e+03,4.987890984555823337e+01
-1.542288557213929157e-02,3.969520449958697554e+03,4.988246513545878003e+01
-1.442786069651740000e-02,3.969783073623321798e+03,4.988576536176054788e+01
-1.343283582089550843e-02,3.970025933051973880e+03,4.988881722334818392e+01
-1.243781094527363074e-02,3.970249516487197070e+03,4.989162685565842281e+01
-1.144278606965173917e-02,3.970454269405728155e+03,4.989419985671705859e+01
-1.044776119402984760e-02,3.970640596387370806e+03,4.989654131062383158e+01
-9.452736318407956029e-03,3.970808862794190645e+03,4.989865580865387784e+01
-8.457711442786064460e-03,3.970959396271975493e+03,4.990054746812559472e+01
-7.462686567164172891e-03,3.971092488084500019e+03,4.990221994916750958e+01
-6.467661691542281321e-03,3.971208394289847092e+03,4.990367646950041092e+01
-5.472636815920389752e-03,3.971307336766866229e+03,4.990491981733613613e+01
-4.477611940298498183e-03,3.971389504098780890e+03,4.990595236248136501e+01
-3.482587064676606614e-03,3.971455052319900005e+03,4.990677606572106129e+01
-2.487562189054715045e-03,3.971504105530441393e+03,4.990739248654455196e+01
-1.492537313432823476e-03,3.971536756383577085e+03,4.990780278926592928e+01
-4.975124378109319068e-04,3.971553066447932906e+03,4.990800774757936864e+01
4.975124378109596623e-04,3.971553066447933361e+03,4.990800774757937575e+01
1.492537313432851231e-03,3.971536756383577085e+03,4.990780278926592928e+01
2.487562189054742801e-03,3.971504105530440938e+03,4.990739248654454485e+01
3.482587064676634370e-03,3.971455052319900460e+03,4.990677606572106839e+01
4.477611940298512061e-03,3.971389504098781345e+03,4.990595236248137212e+01
5.472636815920403630e-03,3.971307336766865774e+03,4.990491981733612903e+01
6.467661691542295199e-03,3.971208394289847092e+03,4.990367646950041092e+01
7.462686567164186768e-03,3.971092488084500928e+03,4.990221994916753090e+01
8.457711442786078337e-03,3.970959396271975493e+03,4.990054746812559472e+01
9.452736318407969907e-03,3.970808862794190645e+03,4.989865580865387784e+01
1.044776119402986148e-02,3.970640596387370351e+03,4.989654131062382447e+01
1.144278606965175304e-02,3.970454269405727700e+03,4.989419985671705149e+01
1.243781094527364461e-02,3.970249516487197070e+03,4.989162685565842281e+01
1.343283582089553618e-02,3.970025933051974334e+03,4.988881722334819102e+01
1.442786069651742775e-02,3.969783073623321798e+03,4.988576536176054788e+01
1.542288557213931932e-02,3.969520449958698009e+03,4.988246513545878713e+01
1.641791044776121089e-02,3.969237528977799684e+03,4.987890984555823337e+01
1.741293532338310246e-02,3.968933730472394927e+03,4.987509220094723617e+01
1.840796019900499403e-02,3.968608424581015697e+03,4.987100428655313067e+01
1.940298507462687172e-02,3.968260929009568372e+03,4.986663752841547392e+01
2.039800995024876329e-02,3.967890505976655732e+03,4.986198265529979778e+01
2.139303482587065486e-02,3.967496358859927113e+03,4.985702965655440266e+01
2.238805970149254643e-02,3.967077628517026824e+03,4.985176773587804178e+01
2.338308457711443800e-02,3.966633389251579047e+03,4.984618526062697441e+01
2.437810945273632957e-02,3.966162644391237791e+03,4.984026970624712050e+01
2.537313432835822113e-02,3.965664321440936419e+03,4.983400759536799285e+01
2.636815920398011270e-02,3.965137266770142105e+03,4.982738443104075543e+01
2.736318407960200427e-02,3.964580239788049767e+03,4.982038462354159236e+01
2.835820895522389584e-02,3.963991906555118021e+03,4.981299141009182563e+01
2.935323383084578741e-02,3.963370832773218353e+03,4.980518676676961576e+01
3.034825870646767898e-02,3.962715476089598724e+03,4.979695131179865086e+01
3.134328358208957055e-02,3.962024177641977076e+03,4.978826419930070557e+01
3.233830845771146212e-02,3.961295152763092119e+03,4.977910300248554876e+01
3.333333333333335369e-02,3.960526480752818316e+03,4.976944358512356104e+01
3.432835820895524526e-02,3.959716093614390502e+03,4.975925996000096774e+01
3.532338308457713683e-02,3.958861763638036336e+03,4.974852413289114850e+01
3.631840796019902839e-02,3.957961089700263074e+03,4.973720593038639493e+01
3.731343283582091996e-02,3.957011482129830256e+03,4.972527280971813468e+01
3.830845771144281153e-02,3.956010145971710699e+03,4.971268964844564664e+01
3.930348258706470310e-02,3.954954062457768941e+03,4.969941851160973556e+01
4.029850746268659467e-02,3.953839968466913433e+03,4.968541839362141843e+01
4.129353233830848624e-02,3.952664333727663688e+03,4.967064493178088469e+01
4.228855721393037781e-02,3.951423335481650611e+03,4.965505008788971963e+01
4.328358208955226938e-02,3.950112830286889221e+03,4.963858179392030223e+01
4.427860696517413319e-02,3.948728322593774010e+03,4.962118355713018758e+01
4.527363184079602476e-02,3.947264929673555343e+03,4.960279401934028698e+01
4.626865671641791633e-02,3.945717342417399323e+03,4.958334646432137305e+01
4.726368159203980790e-02,3.944079781452380757e+03,4.956276826633134647e+01
4.825870646766169947e-02,3.942345947937293204e+03,4.954098027179715302e+01
4.925373134328359104e-02,3.940508968303661277e+03,4.951789610490990867e+01
5.024875621890548261e-02,3.938561332093496276e+03,4.949342138647103440e+01
5.124378109452737418e-02,3.936494821911921917e+03,4.946745285365101807e+01
5.223880597014926574e-02,3.934300434356336154e+03,4.943987736635599362e+01
5.323383084577115731e-02,3.931968290599847023e+03,4.941057078358598886e+01
5.422885572139304888e-02,3.929487535090155689e+03,4.937939669044759228e+01
5.522388059701494045e-02,3.926846220569550951e+03,4.934620495327258283e+01
5.621890547263683202e-02,3.924031177319816379e+03,4.931083007650097016e+01
5.721393034825872359e-02,3.921027864178400250e+03,4.927308933049495465e+01
5.820895522388061516e-02,3.917820198448434439e+03,4.923278061412523243e+01
5.920398009950250673e-02,3.914390361321901310e+03,4.918968000964632381e+01
6.019900497512439830e-02,3.910718574836635071e+03,4.914353897985566988e+01
6.119402985074628987e-02,3.906782845674990767e+03,4.909408114857271244e+01
6.218905472636818144e-02,3.902558670262073065e+03,4.904099859479391910e+01
6.318407960199007301e-02,3.898018694607188536e+03,4.898394757813447598e+01
6.417910447761196457e-02,3.893132321121121549e+03,4.892254359794838336e+01
6.517412935323385614e-02,3.887865253195446712e+03,4.885635567034334059e+01
6.616915422885574771e-02,3.882178966603074514e+03,4.878489968560413104e+01
6.716417910447763928e-02,3.876030094718934834e+03,4.870763068264782447e+01
6.815920398009953085e-02,3.869369712105856706e+03,4.862393384629844917e+01
6.915422885572142242e-02,3.862142498096019153e+03,4.853311399654154457e+01
